model,accuracy,precision,recall,f1_score,specificity,roc_auc,confusion_matrix
Logistic Regression,0.75,0.7660720921590487,0.7505199781061851,0.7569573283858998,0.8649501579219189,0.8874349529781534,"[[20, 0, 9], [0, 20, 5], [6, 4, 32]]"
Decision Tree,0.6979166666666666,0.6994987468671678,0.7143951833607006,0.7055271293039121,0.8435911210769315,0.778993152218816,"[[21, 0, 8], [1, 20, 4], [8, 8, 26]]"
Random Forest,0.7916666666666666,0.806376811594203,0.7930596606458676,0.7978226711560046,0.8869657969931252,0.9166668796361316,"[[20, 0, 9], [0, 22, 3], [5, 3, 34]]"
